Circonférence à 1.30 m (cm),Volume (m3)
144,1.82
213,4.24
52,0.19
155,2.13
79,0.48
134,1.55
49,0.16
44,0.12
49,0.16
134,1.55
193,3.62
135,1.57
86,0.6
211,2.57
63,0.24
161,1.87
45,0.1
58,0.19
132,1.23
106,0.8
92,0.57
138,1.36
77,0.37
71,0.3
134,1.27
48,0.12
96,0.63
81,0.42
97,0.65
133,1.25
138,1.36
115,0.97
164,1.94
75,0.34
154,1.7
73,0.32
150,1.63
88,0.51
122,0.9
160,1.64
159,1.62
139,1.21
164,1.9
243,4.31
190,3.39
209,4.4
184,3.68
124,1.35
147,1.98
170,3.12
163,2.46
155,2.22
178,3.33
128,1.21
107,1.02
84,0.58
131,0.78
122,0.67
159,1.2
139,0.9
74,0.42
29,0.02
133,1.4
120,1.1
59,0.14
183,2.62
110,0.95
40,0.05
39,0.05
77,0.22
41,0.06
56,0.15
55,0.14
75,0.2
51,0.11
62,0.19
71,0.25
73,0.19
97,0.39
84,0.27
37,0.05
42,0.07
69,0.25
78,0.43
56,0.24
76,0.4
184,2.97
30,0.03
24,0.02
30,0.03
58,0.22
34,0.05
36,0.06
50,0.15
38,0.07
41,0.09
26,0.02
30,0.03
141,1.27
134,1.13
47,0.13
37,0.06
25,0.02
39,0.07
37,0.06
34,0.05
37,0.06
35,0.05
41,0.09
55,0.19
62,0.26
69,0.35
55,0.19
28,0.03
44,0.1
145,0.98
208,3.93
48,0.11
223,3.58
51,0.12
90,0.46
63,0.23
56,0.17
93,0.41
88,0.36
91,0.45
80,0.32
35,0.06
90,0.43
80,0.32
49,0.15
53,0.18
51,0.14
32,0.04
33,0.04
31,0.03
72,0.32
127,1.05
154,2.58
196,4.25
151,2.48
172,2.96
161,2.84
119,1.02
116,0.9
125,0.96
119,0.85
192,4.25
184,3.25
36,0.04
133,1.96
168,2.95
36,0.04
40,0.05
174,3.69
48,0.09
112,1.27
177,3.28
116,1.38
121,1.58
112,0.49
96,0.34
56,0.18
66,0.27
70,0.32
129,0.71
146,0.94
97,0.85
30,0.01
213,4.25
183,3.64
145,1.52
128,1.15
160,1.88
233,4.67
170,1.21
134,0.81
127,0.71
130,0.75
123,1.39
135,1.72
184,2.98
151,2.2
43,0.07
42,0.06
82,0.42
42,0.06
28,0.02
35,0.04
59,0.17
79,0.44
24,0.01
74,0.35
108,0.89
31,0.01
68,0.12
62,0.09
31,0.01
26,0.01
24,0.01
133,1.21
169,2.29
121,0.98
135,1.25
75,0.4
32,0.04
102,0.85
123,1.18
72,0.42
162,2.79
75,0.47
48,0.12
151,1.87
33,0.04
25,0.02
27,0.02
41,0.06
24,0.01
25,0.02
25,0.02
24,0.01
