Circonférence à 1.30 m (cm),Volume (m3)
119,1.39
100,0.95
99,0.93
130,1.71
104,1.15
125,1.61
126,1.64
141,2.11
113,1.39
138,2.1
126,1.64
79,0.56
122,1.52
122,1.52
66,0.38
126,1.64
92,0.83
135,1.91
129,1.72
123,1.55
63,0.24
25,0.1
86,0.53
46,0.1
46,0.1
41,0.7
42,0.8
44,0.9
58,0.19
60,0.21
49,0.12
52,0.14
42,0.8
28,0.2
71,0.32
36,0.5
32,0.3
31,0.3
53,0.15
88,0.6
63,0.29
84,0.53
86,0.56
114,1.13
75,0.39
90,0.63
76,0.41
81,0.48
62,0.28
86,0.56
95,0.73
114,1.13
87,0.58
84,0.53
82,0.5
102,0.87
88,0.6
40,0.7
128,1.16
109,1.4
123,1.6
64,0.28
93,0.7
80,0.47
183,3.1
194,3.69
177,3.6
158,2.3
169,2.82
155,2.21
76,0.51
72,0.44
66,0.46
76,0.51
79,0.54
75,0.49
105,1.13
103,1.8
94,0.85
67,0.48
44,0.15
50,0.21
56,0.29
40,0.5
64,0.21
124,1.38
47,0.9
37,0.4
25,0.1
122,1.33
138,1.57
108,0.87
146,1.77
102,0.94
92,0.73
77,0.46
81,0.52
126,1.5
90,0.69
105,1.1
125,1.48
92,0.73
86,0.61
69,0.4
62,0.3
95,0.79
78,0.47
42,0.5
77,0.38
108,0.89
38,0.4
162,2.52
93,0.47
102,0.57
97,0.52
73,0.25
42,0.7
57,0.17
103,0.59
87,0.39
31,0.3
79,0.31
73,0.25
98,0.53
127,1
87,0.39
64,0.23
95,0.49
149,1.43
134,0.97
107,0.36
119,0.73
107,0.36
136,1
73,0.41
116,1.33
30,0.3
99,0.9
73,0.41
112,1.22
134,1.93
174,3.2
113,1.25
70,0.32
39,0.6
139,2.9
168,3.7
169,3.2
40,0.6
168,2.88
57,0.16
77,0.28
75,0.26
66,0.24
76,0.27
54,0.14
71,0.23
61,0.19
57,0.16
53,0.13
44,0.8
41,0.6
37,0.5
37,0.5
71,0.23
53,0.13
45,0.8
51,0.12
44,0.8
59,0.18
53,0.13
45,0.8
50,0.11
25,0.1
53,0.13
126,1.49
151,2.23
163,2.61
179,3.16
64,0.3
73,0.39
82,0.54
80,0.5
84,0.57
99,0.77
100,0.79
105,0.89
81,0.52
60,0.25
68,0.36
63,0.29
204,4.34
175,3.49
225,5.23
172,3.36
159,2.27
145,1.87
121,1.24
158,2.24
30,0.3
61,0.25
38,0.6
122,1.49
83,0.63
115,1.46
128,1.79
164,3.11
142,2.29
122,1.6
112,1.37
130,1.85
146,2.44
124,1.66
121,1.57
118,1.48
124,1.66
129,1.82
102,1.9
157,2.84
170,2.85
88,0.61
78,0.45
58,0.2
162,2.58
59,0.21
63,0.25
89,0.63
228,5.15
81,0.32
83,0.34
73,0.24
81,0.32
67,0.21
123,0.93
192,2.27
122,0.91
30,0.3
46,0.9
34,0.4
100,0.64
31,0.3
27,0.2
52,0.13
34,0.4
33,0.3
78,0.32
78,0.32
82,0.36
48,0.9
70,0.27
178,2.69
80,0.37
41,0.5
105,0.65
133,1.61
114,0.9
35,0.4
46,0.9
73,0.27
44,0.8
72,0.26
64,0.22
39,0.5
45,0.8
51,0.12
35,0.4
82,0.36
82,0.36
56,0.15
93,0.57
109,0.85
178,2.67
208,3.84
211,4.69
160,2.56
167,2.8
73,0.33
169,3.28
173,3.16
71,0.31
128,1.57
122,1.41
155,2.4
174,2.86
62,0.32
37,0.7
70,0.45
37,0.7
96,0.76
115,1.2
104,0.93
121,1.29
89,0.63
132,1.58
131,1.56
83,0.53
79,0.46
