Plot,Sub Plot,Tree specie,Area (ha),Diameter (cm),Type
0,1,Epicea,13.78,22.4,1
0,2,Epicea,1.34,21.6,1
0,3,Beech,1.33,33.8,0
1,1,Epicea,1.57,23.1,1
1,2,Douglas,1.19,21.4,1
1,3,Epicea,1.67,20.9,1
1,4,Oak,5.09,29.8,0
2,1,Epicea,1.09,12.3,1
2,2,Epicea & Douglas,1.87,8.9,1
2,3,Beech,0.96,38.7,0
2,5,Other,2.55,42.1,0
3,1,Epicea,13.86,11.3,1
3,2,Douglas,0.82,12.8,1
3,3,Beech,0.96,44.6,0
3,4,Other,0.2,41.9,0
4,1,Epicea,31.24,29.7,1
4,2,Epicea & Douglas,9.45,24.2,1
4,3,Douglas,4.29,26.3,1
4,4,Beech,5.1,45.2,0
4,5,Other,4.99,41.7,0
5,1,Epicea & Douglas,4.94,12.8,1
5,2,Epicea,0.66,34.2,1
5,3,Other,8,46.9,0
6,1,Beech,0.55,41.4,0
6,2,Epicea & Douglas,0.41,13.8,1
6,3,Douglas,0.49,14.8,1
6,4,Epicea,0.84,12.1,1
6,5,Epicea,0.65,7.3,1
6,6,Oak,3.6,44.2,0
7,1,Epicea & Douglas,2.13,8.9,1
7,2,Epicea,1.19,11,1
7,3,Oak,3.89,45.5,0
