Circonférence à 1.30 m (cm),volume (m3)
107,1.1
165,2.95
119,1.46
141,2.24
142,2.28
159,2.99
182,3.51
169,2.93
215,4.79
138,1.53
152,1.94
158,2.12
69,0.28
77,0.4
89,0.59
103,0.8
72,0.33
96,0.72
74,0.36
106,0.86
72,0.33
153,2.34
129,1.49
106,0.69
196,3.97
80,0.32
84,0.37
138,1.76
100,0.59
92,0.47
120,1.49
103,0.95
132,1.79
131,1.75
118,1.43
127,1.72
105,1
102,0.93
121,1.52
164,3.2
97,0.81
138,2
133,1.82
71,0.33
83,0.51
133,1.68
127,1.5
87,0.6
152,2.33
101,0.89
142,1.98
145,2.6
135,1.68
174,2.89
90,0.59
93,0.64
155,2.41
144,1.98
158,2.53
69,0.22
78,0.28
81,0.36
132,1.13
81,0.4
101,0.73
129,1.15
73,0.3
78,0.26
147,2.36
140,2.9
206,5.17
212,5.5
128,1.65
87,0.65
97,0.87
138,1.97
137,1.93
128,1.65
138,1.97
113,1.31
108,1.16
79,0.5
145,2.22
100,0.95
140,2.4
156,2.4
157,2.43
128,1.52
106,0.96
150,2.18
156,2.4
134,1.7
110,1.6
127,1
195,3.55
91,0.57
89,0.53
118,1.18
81,0.55
125,1.37
126,1.4
119,1.21
152,2.47
143,1.91
145,1.98
170,2.9
69,0.36
135,1.66
155,2.58
95,0.85
142,1.88
112,1.32
130,1.51
131,1.54
132,1.57
168,3.29
122,1.28
133,1.6
130,1.51
82,0.44
134,1.61
122,1.27
107,0.89
124,1.32
89,0.55
138,1.73
116,1.11
122,1.24
117,1.37
78,0.46
108,1.11
125,1.66
115,1.31
96,0.81
116,1.34
92,0.73
105,1.3
122,1.56
122,1.56
127,1.73
119,1.45
119,1.45
96,0.81
86,0.6
134,1.98
120,0.98
76,0.35
92,0.59
98,0.69
106,0.8
92,0.59
108,0.84
68,0.24
143,2.3
179,3.79
166,3.19
186,3.99
176,3.58
136,1.79
229,5.8
71,0.3
88,0.52
88,0.52
77,0.36
121,1.25
120,1.54
136,2.1
123,1.64
139,2.12
103,1.9
